Id,Predicted
0, 0.45
1, 0.47
2, 0.57
3, 0.50
4, 0.37
5, 0.53
6, 0.45
7, 0.40
8, 0.50
9, 0.49
10, 0.47
11, 0.53
12, 0.35
13, 0.53
14, 0.38
15, 0.52
16, 0.54
17, 0.60
18, 0.53
19, 0.35
20, 0.37
21, 0.43
22, 0.50
23, 0.40
24, 0.50
25, 0.48
26, 0.54
27, 0.35
28, 0.52
29, 0.55
30, 0.50
31, 0.56
32, 0.50
33, 0.39
34, 0.54
35, 0.48
36, 0.51
37, 0.62
38, 0.53
39, 0.55
40, 0.51
41, 0.43
42, 0.54
43, 0.51
44, 0.44
45, 0.56
46, 0.41
47, 0.60
48, 0.50
49, 0.48
50, 0.54
51, 0.56
52, 0.36
53, 0.49
54, 0.56
55, 0.57
56, 0.38
57, 0.36
58, 0.56
59, 0.56
60, 0.56
61, 0.48
62, 0.51
63, 0.43
64, 0.53
65, 0.43
66, 0.57
67, 0.45
68, 0.55
69, 0.56
70, 0.57
71, 0.61
72, 0.60
73, 0.55
74, 0.41
75, 0.43
76, 0.42
77, 0.57
78, 0.55
79, 0.42
80, 0.50
81, 0.37
82, 0.54
83, 0.61
84, 0.60
85, 0.54
86, 0.54
87, 0.42
88, 0.35
89, 0.54
90, 0.46
91, 0.43
92, 0.58
93, 0.47
94, 0.48
95, 0.51
96, 0.58
97, 0.62
98, 0.50
99, 0.60
100, 0.57
101, 0.58
102, 0.39
103, 0.57
104, 0.47
105, 0.50
106, 0.44
107, 0.57
108, 0.38
109, 0.59
110, 0.53
111, 0.43
112, 0.44
113, 0.55
114, 0.51
115, 0.37
116, 0.57
117, 0.56
118, 0.58
119, 0.50
120, 0.46
121, 0.59
122, 0.42
123, 0.37
124, 0.36
125, 0.46
126, 0.47
127, 0.58
128, 0.50
129, 0.54
130, 0.42
131, 0.57
132, 0.54
133, 0.46
134, 0.54
135, 0.40
136, 0.42
137, 0.47
138, 0.52
139, 0.40
140, 0.50
141, 0.56
142, 0.47
143, 0.46
144, 0.53
145, 0.57
146, 0.42
147, 0.42
148, 0.45
149, 0.46
150, 0.47
151, 0.43
152, 0.37
153, 0.47
154, 0.60
155, 0.48
156, 0.55
157, 0.55
158, 0.53
159, 0.42
160, 0.55
161, 0.37
162, 0.41
163, 0.47
164, 0.55
165, 0.48
166, 0.46
167, 0.36
168, 0.34
169, 0.56
170, 0.53
171, 0.58
172, 0.56
173, 0.42
174, 0.46
175, 0.39
176, 0.60
177, 0.57
178, 0.41
179, 0.45
180, 0.61
181, 0.60
182, 0.57
183, 0.42
184, 0.57
185, 0.55
186, 0.53
187, 0.61
188, 0.52
189, 0.53
190, 0.58
191, 0.48
192, 0.53
193, 0.38
194, 0.58
195, 0.35
196, 0.56
197, 0.56
198, 0.53
199, 0.38
200, 0.51
201, 0.41
202, 0.39
203, 0.53
204, 0.61
205, 0.48
206, 0.37
207, 0.42
208, 0.35
209, 0.55
210, 0.48
211, 0.57
212, 0.58
213, 0.59
214, 0.58
215, 0.55
216, 0.57
217, 0.55
218, 0.53
219, 0.52
220, 0.42
221, 0.37
222, 0.57
223, 0.61
224, 0.48
225, 0.55
226, 0.43
227, 0.42
228, 0.57
229, 0.48
230, 0.47
231, 0.59
232, 0.39
233, 0.40
234, 0.39
235, 0.55
236, 0.54
237, 0.40
238, 0.47
239, 0.55
240, 0.37
241, 0.38
242, 0.53
243, 0.39
244, 0.49
245, 0.39
246, 0.43
247, 0.50
248, 0.55
249, 0.35
250, 0.40
251, 0.41
252, 0.40
253, 0.39
254, 0.41
255, 0.48
256, 0.46
257, 0.53
258, 0.56
259, 0.52
260, 0.49
261, 0.42
262, 0.37
263, 0.44
264, 0.50
265, 0.47
266, 0.49
267, 0.54
268, 0.54
269, 0.48
270, 0.55
271, 0.38
272, 0.38
273, 0.51
274, 0.58
275, 0.59
276, 0.43
277, 0.41
278, 0.50
279, 0.36
280, 0.55
281, 0.59
282, 0.42
283, 0.59
284, 0.51
285, 0.49
286, 0.47
287, 0.54
288, 0.51
289, 0.40
290, 0.51
291, 0.54
292, 0.44
293, 0.54
294, 0.35
295, 0.50
296, 0.55
297, 0.54
298, 0.41
299, 0.59
300, 0.41
301, 0.55
302, 0.53
303, 0.57
304, 0.44
305, 0.40
306, 0.48
307, 0.54
308, 0.38
309, 0.52
310, 0.55
311, 0.49
312, 0.54
313, 0.41
314, 0.47
315, 0.53
316, 0.48
317, 0.52
318, 0.34
319, 0.59
320, 0.57
321, 0.49
322, 0.53
323, 0.39
324, 0.44
325, 0.52
326, 0.54
327, 0.58
328, 0.36
329, 0.63
330, 0.52
331, 0.54
332, 0.38
333, 0.42
334, 0.37
335, 0.59
336, 0.32
337, 0.52
338, 0.41
339, 0.40
340, 0.53
341, 0.47
342, 0.56
343, 0.59
344, 0.39
345, 0.59
346, 0.56
347, 0.57
348, 0.51
349, 0.56
350, 0.47
351, 0.45
352, 0.51
353, 0.41
354, 0.57
355, 0.51
356, 0.52
357, 0.57
358, 0.49
359, 0.52
360, 0.50
361, 0.58
362, 0.59
363, 0.49
364, 0.38
365, 0.51
366, 0.56
367, 0.55
368, 0.48
369, 0.51
370, 0.45
371, 0.34
372, 0.35
373, 0.51
374, 0.58
375, 0.51
376, 0.45
377, 0.38
378, 0.54
379, 0.52
380, 0.57
381, 0.53
382, 0.55
383, 0.61
384, 0.53
385, 0.54
386, 0.42
387, 0.41
388, 0.54
389, 0.52
390, 0.57
391, 0.59
392, 0.44
393, 0.60
394, 0.53
395, 0.47
396, 0.55
397, 0.43
398, 0.57
399, 0.50
400, 0.51
401, 0.42
402, 0.52
403, 0.50
404, 0.51
405, 0.38
406, 0.41
407, 0.50
408, 0.50
409, 0.58
410, 0.39
411, 0.54
412, 0.59
413, 0.55
414, 0.37
415, 0.42
416, 0.50
417, 0.41
418, 0.51
419, 0.43
420, 0.41
421, 0.38
422, 0.40
423, 0.52
424, 0.42
425, 0.42
426, 0.64
427, 0.44
428, 0.35
429, 0.40
430, 0.57
431, 0.39
