Id,Predicted
0, 0.34
1, 0.10
2, 0.50
3, 0.36
4, 0.97
5, 0.08
6, 0.55
7, 0.42
8, 0.45
9, 0.55
10, 0.43
11, 0.47
12, 0.35
13, 0.50
14, 0.98
15, 0.95
16, 0.97
17, 0.54
18, 0.51
19, 0.53
20, 0.41
21, 0.57
22, 0.49
23, 0.48
24, 0.47
25, 0.51
26, 0.60
27, 0.47
28, 0.50
29, 0.45
30, 0.50
31, 0.41
32, 0.47
33, 0.30
34, 0.69
35, 0.23
36, 0.44
37, 0.47
38, 0.46
39, 0.87
40, 0.49
41, 0.36
42, 0.52
43, 0.39
44, 0.97
45, 0.47
46, 0.49
47, 0.20
48, 0.42
49, 0.49
50, 0.16
51, 0.41
52, 0.08
53, 0.41
54, 0.35
55, 0.47
56, 0.45
57, 0.33
58, 0.25
59, 0.49
60, 0.62
61, 0.44
62, 0.08
63, 0.89
64, 0.95
65, 0.45
66, 0.73
67, 0.47
68, 0.10
69, 0.48
70, 0.55
71, 0.98
72, 0.97
73, 0.46
74, 0.14
75, 0.61
76, 0.51
77, 0.41
78, 0.45
79, 0.09
80, 0.55
81, 0.48
82, 0.63
83, 0.98
84, 0.73
85, 0.69
86, 0.45
87, 0.46
88, 0.49
89, 0.99
90, 0.44
91, 0.99
92, 0.48
93, 0.49
94, 0.98
95, 0.45
96, 0.23
97, 0.46
98, 0.98
99, 0.46
100, 0.56
101, 0.49
102, 0.09
103, 0.78
104, 0.56
105, 0.29
106, 0.42
107, 0.39
108, 0.42
109, 0.68
110, 0.09
111, 0.48
112, 0.34
113, 0.53
114, 0.48
115, 0.50
116, 0.56
117, 0.51
118, 0.11
119, 0.54
120, 0.11
121, 0.53
122, 0.39
123, 0.42
124, 0.44
125, 0.10
126, 0.52
127, 0.56
128, 0.52
129, 0.38
130, 0.10
131, 0.82
132, 0.10
133, 0.35
134, 0.48
135, 0.53
136, 0.15
137, 0.24
138, 0.47
139, 0.66
140, 0.48
141, 0.43
142, 0.50
143, 0.94
144, 0.92
145, 0.53
146, 0.45
147, 0.43
148, 0.48
149, 0.28
150, 0.32
151, 0.99
152, 0.16
153, 0.36
154, 0.45
155, 0.61
156, 0.21
157, 0.51
158, 0.47
159, 0.36
160, 0.55
161, 0.54
162, 0.78
163, 0.19
164, 0.48
165, 0.43
166, 0.22
167, 0.41
168, 0.98
169, 0.37
170, 0.42
171, 0.37
172, 0.85
173, 0.59
174, 0.42
175, 0.55
176, 0.26
177, 0.08
178, 0.56
179, 0.45
180, 0.44
181, 0.48
182, 0.92
183, 0.46
184, 0.26
185, 0.47
186, 0.47
187, 0.51
188, 0.63
189, 0.50
190, 0.58
191, 0.48
192, 0.48
193, 0.38
194, 0.40
195, 0.10
196, 0.49
197, 0.73
198, 0.11
199, 0.09
200, 0.48
201, 0.38
202, 0.37
203, 0.40
204, 0.84
205, 0.39
206, 0.08
207, 0.45
208, 0.97
209, 0.48
210, 0.32
211, 0.50
212, 0.38
213, 0.48
214, 0.39
215, 0.53
216, 0.53
217, 0.50
218, 0.46
219, 0.11
220, 0.27
221, 0.48
222, 0.40
223, 0.07
224, 0.43
225, 0.45
226, 0.40
227, 0.82
228, 0.57
229, 0.37
230, 0.10
231, 0.13
232, 0.46
233, 0.33
234, 0.22
235, 0.11
236, 0.47
237, 0.13
238, 0.50
239, 0.43
240, 0.34
241, 0.56
242, 0.07
243, 0.12
244, 0.43
245, 0.38
246, 0.62
247, 0.67
248, 0.45
249, 0.12
250, 0.98
251, 0.45
252, 0.50
253, 0.12
254, 0.48
255, 0.51
256, 0.49
257, 0.50
258, 0.51
259, 0.43
260, 0.08
261, 0.09
262, 0.08
263, 0.98
264, 0.47
265, 0.48
266, 0.43
267, 0.65
268, 0.46
269, 0.47
270, 0.52
271, 0.52
272, 0.47
273, 0.48
274, 0.71
275, 0.72
276, 0.56
277, 0.09
278, 0.51
279, 0.30
280, 0.92
281, 0.82
282, 0.99
283, 0.46
284, 0.57
285, 0.60
286, 0.45
287, 0.50
288, 0.97
289, 0.41
290, 0.47
291, 0.38
292, 0.94
293, 0.45
294, 0.28
295, 0.65
296, 0.13
297, 0.42
298, 0.17
299, 0.38
300, 0.46
301, 0.40
302, 0.35
303, 0.44
304, 0.41
305, 0.60
306, 0.52
307, 0.54
308, 0.54
309, 0.44
310, 0.53
311, 0.07
312, 0.98
313, 0.43
314, 0.47
315, 0.49
316, 0.49
317, 0.68
318, 0.35
319, 0.12
320, 0.25
321, 0.97
322, 0.13
323, 0.11
324, 0.73
325, 0.91
326, 0.41
327, 0.37
328, 0.46
329, 0.45
330, 0.12
331, 0.49
332, 0.12
333, 0.09
334, 0.99
335, 0.50
336, 0.36
337, 0.42
338, 0.46
339, 0.51
340, 0.40
341, 0.47
342, 0.33
343, 0.27
344, 0.98
345, 0.54
346, 0.10
347, 0.36
348, 0.54
349, 0.61
350, 0.91
351, 0.33
352, 0.59
353, 0.82
354, 0.47
355, 0.49
356, 0.40
357, 0.17
358, 0.42
359, 0.50
360, 0.43
361, 0.51
362, 0.57
363, 0.57
364, 0.58
365, 0.49
366, 0.52
367, 0.94
368, 0.54
369, 0.14
370, 0.41
371, 0.75
372, 0.56
373, 0.62
374, 0.88
375, 0.73
376, 0.46
377, 0.42
378, 0.47
379, 0.44
380, 0.47
381, 0.15
382, 0.09
383, 0.51
384, 0.49
385, 0.33
386, 0.09
387, 0.46
388, 0.64
389, 0.18
390, 0.95
391, 0.46
392, 0.51
393, 0.32
394, 0.49
395, 0.49
396, 0.70
397, 0.07
398, 0.46
399, 0.81
400, 0.51
401, 0.75
402, 0.51
403, 0.48
404, 0.29
405, 0.53
406, 0.20
407, 0.62
408, 0.48
409, 0.33
410, 0.14
411, 0.28
412, 0.45
413, 0.52
414, 0.10
415, 0.42
416, 0.44
417, 0.96
418, 0.45
419, 0.52
420, 0.52
421, 0.66
422, 0.46
423, 0.68
424, 0.98
425, 0.61
426, 0.49
427, 0.76
428, 0.98
429, 0.13
430, 0.45
431, 0.48
432, 0.50
433, 0.20
434, 0.98
435, 0.52
436, 0.44
437, 0.48
438, 0.47
439, 0.14
440, 0.96
441, 0.40
442, 0.37
443, 0.35
444, 0.52
445, 0.45
446, 0.51
447, 0.16
448, 0.43
449, 0.96
450, 0.59
451, 0.21
452, 0.72
453, 0.62
454, 0.33
455, 0.37
456, 0.41
457, 0.40
458, 0.53
459, 0.44
460, 0.53
461, 0.49
462, 0.50
463, 0.98
464, 0.83
465, 0.30
466, 0.52
467, 0.50
468, 0.98
469, 0.45
470, 0.45
471, 0.46
472, 0.34
473, 0.54
474, 0.92
475, 0.80
476, 0.98
477, 0.44
478, 0.21
479, 0.34
480, 0.36
481, 0.95
482, 0.95
483, 0.50
484, 0.15
485, 0.74
486, 0.30
487, 0.97
488, 0.43
489, 0.36
490, 0.29
491, 0.11
492, 0.32
493, 0.48
494, 0.40
495, 0.35
496, 0.37
497, 0.50
498, 0.78
499, 0.75
500, 0.90
501, 0.40
502, 0.16
503, 0.49
504, 0.65
505, 0.98
506, 0.52
507, 0.98
508, 0.53
509, 0.35
510, 0.54
511, 0.49
512, 0.42
513, 0.40
514, 0.47
515, 0.53
516, 0.29
517, 0.62
518, 0.33
519, 0.38
520, 0.13
521, 0.51
522, 0.14
523, 0.36
524, 0.55
525, 0.46
526, 0.40
527, 0.61
528, 0.49
529, 0.41
530, 0.48
531, 0.48
532, 0.39
533, 0.52
534, 0.40
535, 0.50
536, 0.37
537, 0.49
538, 0.60
539, 0.28
540, 0.93
541, 0.52
542, 0.51
543, 0.99
544, 0.46
545, 0.47
546, 0.98
547, 0.45
548, 0.36
549, 0.30
550, 0.31
551, 0.41
552, 0.98
553, 0.12
554, 0.51
555, 0.43
556, 0.19
557, 0.97
558, 0.56
559, 0.64
560, 0.47
561, 0.34
562, 0.79
563, 0.99
564, 0.41
565, 0.94
566, 0.33
567, 0.90
568, 0.71
569, 0.97
570, 0.47
571, 0.33
572, 0.51
573, 0.07
574, 0.51
575, 0.58
576, 0.73
577, 0.72
578, 0.51
579, 0.64
580, 0.47
581, 0.54
582, 0.38
583, 0.44
584, 0.32
585, 0.38
586, 0.11
587, 0.44
588, 0.17
589, 0.39
590, 0.44
591, 0.60
592, 0.57
593, 0.98
594, 0.49
595, 0.95
596, 0.40
597, 0.48
598, 0.50
599, 0.51
600, 0.50
601, 0.98
602, 0.76
603, 0.35
604, 0.80
605, 0.19
606, 0.28
607, 0.09
608, 0.98
609, 0.61
610, 0.55
611, 0.51
612, 0.38
613, 0.42
614, 0.50
615, 0.36
616, 0.44
617, 0.48
618, 0.45
619, 0.16
620, 0.47
621, 0.50
622, 0.45
623, 0.50
624, 0.36
625, 0.44
626, 0.36
627, 0.98
628, 0.44
629, 0.58
630, 0.48
631, 0.34
632, 0.21
633, 0.48
634, 0.97
635, 0.53
636, 0.99
637, 0.56
638, 0.32
639, 0.51
640, 0.41
641, 0.53
642, 0.48
643, 0.59
644, 0.70
645, 0.52
646, 0.31
647, 0.36
648, 0.98
649, 0.48
650, 0.35
651, 0.51
652, 0.76
653, 0.76
654, 0.97
655, 0.33
656, 0.53
657, 0.48
658, 0.08
659, 0.35
660, 0.98
661, 0.47
662, 0.50
663, 0.46
664, 0.38
665, 0.42
666, 0.45
667, 0.90
668, 0.51
669, 0.90
670, 0.68
671, 0.48
672, 0.98
673, 0.67
674, 0.48
675, 0.98
676, 0.07
677, 0.23
678, 0.08
679, 0.53
680, 0.97
681, 0.96
682, 0.49
683, 0.31
684, 0.55
685, 0.45
686, 0.47
687, 0.57
688, 0.31
689, 0.24
690, 0.65
691, 0.68
692, 0.50
693, 0.41
694, 0.72
695, 0.41
696, 0.52
697, 0.46
698, 0.43
699, 0.54
700, 0.37
701, 0.32
702, 0.46
703, 0.45
704, 0.28
705, 0.39
706, 0.39
707, 0.09
708, 0.38
709, 0.06
710, 0.98
711, 0.48
712, 0.50
713, 0.45
714, 0.52
715, 0.34
716, 0.19
717, 0.30
718, 0.40
719, 0.47
720, 0.07
721, 0.60
722, 0.09
723, 0.38
724, 0.31
725, 0.46
726, 0.46
727, 0.51
728, 0.47
729, 0.31
730, 0.38
731, 0.10
732, 0.34
733, 0.94
734, 0.14
735, 0.43
736, 0.51
737, 0.06
738, 0.49
739, 0.29
740, 0.46
741, 0.13
742, 0.48
743, 0.28
744, 0.96
745, 0.33
746, 0.28
747, 0.52
