Id,Predicted
0, 0.42
1, 0.22
2, 0.50
3, 0.39
4, 0.86
5, 0.15
6, 0.57
7, 0.32
8, 0.40
9, 0.50
10, 0.50
11, 0.54
12, 0.43
13, 0.54
14, 0.79
15, 0.88
16, 0.78
17, 0.52
18, 0.51
19, 0.32
20, 0.48
21, 0.74
22, 0.47
23, 0.53
24, 0.51
25, 0.49
26, 0.56
27, 0.54
28, 0.49
29, 0.48
30, 0.51
31, 0.39
32, 0.51
33, 0.25
34, 0.55
35, 0.40
36, 0.47
37, 0.48
38, 0.47
39, 0.71
40, 0.51
41, 0.44
42, 0.48
43, 0.43
44, 0.81
45, 0.48
46, 0.51
47, 0.34
48, 0.50
49, 0.47
50, 0.26
51, 0.46
52, 0.18
53, 0.39
54, 0.35
55, 0.48
56, 0.49
57, 0.36
58, 0.30
59, 0.50
60, 0.58
61, 0.36
62, 0.20
63, 0.71
64, 0.85
65, 0.46
66, 0.64
67, 0.48
68, 0.27
69, 0.55
70, 0.58
71, 0.88
72, 0.82
73, 0.49
74, 0.25
75, 0.55
76, 0.48
77, 0.51
78, 0.48
79, 0.21
80, 0.52
81, 0.51
82, 0.64
83, 0.92
84, 0.59
85, 0.62
86, 0.63
87, 0.47
88, 0.41
89, 0.84
90, 0.50
91, 0.78
92, 0.49
93, 0.60
94, 0.74
95, 0.49
96, 0.22
97, 0.48
98, 0.73
99, 0.45
100, 0.49
101, 0.50
102, 0.17
103, 0.60
104, 0.54
105, 0.47
106, 0.44
107, 0.54
108, 0.44
109, 0.74
110, 0.17
111, 0.52
112, 0.32
113, 0.62
114, 0.50
115, 0.52
116, 0.59
117, 0.50
118, 0.26
119, 0.44
120, 0.19
121, 0.58
122, 0.54
123, 0.45
124, 0.49
125, 0.22
126, 0.53
127, 0.70
128, 0.50
129, 0.46
130, 0.15
131, 0.70
132, 0.20
133, 0.60
134, 0.49
135, 0.50
136, 0.25
137, 0.24
138, 0.50
139, 0.60
140, 0.52
141, 0.48
142, 0.53
143, 0.86
144, 0.84
145, 0.45
146, 0.46
147, 0.40
148, 0.44
149, 0.30
150, 0.38
151, 0.90
152, 0.25
153, 0.35
154, 0.50
155, 0.55
156, 0.40
157, 0.63
158, 0.50
159, 0.36
160, 0.51
161, 0.51
162, 0.61
163, 0.22
164, 0.52
165, 0.47
166, 0.25
167, 0.45
168, 0.79
169, 0.40
170, 0.48
171, 0.46
172, 0.67
173, 0.56
174, 0.34
175, 0.55
176, 0.29
177, 0.14
178, 0.53
179, 0.48
180, 0.47
181, 0.50
182, 0.65
183, 0.49
184, 0.33
185, 0.63
186, 0.43
187, 0.50
188, 0.57
189, 0.50
190, 0.57
191, 0.57
192, 0.48
193, 0.59
194, 0.42
195, 0.49
196, 0.49
197, 0.65
198, 0.28
199, 0.19
200, 0.47
201, 0.39
202, 0.48
203, 0.32
204, 0.81
205, 0.35
206, 0.16
207, 0.50
208, 0.83
209, 0.49
210, 0.44
211, 0.51
212, 0.53
213, 0.52
214, 0.35
215, 0.61
216, 0.54
217, 0.53
218, 0.42
219, 0.15
220, 0.28
221, 0.46
222, 0.43
223, 0.36
224, 0.49
225, 0.50
226, 0.43
227, 0.68
228, 0.53
229, 0.45
230, 0.23
231, 0.24
232, 0.44
233, 0.41
234, 0.18
235, 0.21
236, 0.49
237, 0.21
238, 0.52
239, 0.46
240, 0.44
241, 0.52
242, 0.17
243, 0.36
244, 0.44
245, 0.40
